trial_id,pair_id,condition,target_word,clue_giver_id,attempt_idx,n_attempts,start,end,duration,n_points,dt,trial_threshold,trial_recurrence_rate,RR,DET,LAM,L_MAX
103_203_12_1_20250113_152455_doughnut_board,103_203,board,doughnut,103,1,1,1.01,13.79,12.78,1278,0.01,0.0031,0.07,0.0589,0.8888,0.9306,1.15
103_203_13_1_20250113_152513_spinach_board,103_203,board,spinach,103,1,1,2.8,13.8,11.0,1100,0.01,0.0049,0.07,0.0233,0.6858,0.7948,0.61
103_203_15_1_20250113_152557_bacon_board,103_203,board,bacon,103,1,3,1.2,6.08,4.88,407,0.012,0.0045,0.07,0.0204,0.6327,0.7351,0.324
103_203_15_1_20250113_152557_bacon_board,103_203,board,bacon,103,2,3,9.72,14.98,5.26,439,0.012,0.0045,0.07,0.1155,0.8995,0.9423,0.816
103_203_15_1_20250113_152557_bacon_board,103_203,board,bacon,103,3,3,14.98,17.48,2.5,208,0.012,0.0045,0.07,0.0128,0.2899,0.4366,0.144
103_203_16_1_20250113_152613_chlorine_board,103_203,board,chlorine,103,1,1,3.98,12.62,8.64,1080,0.008,0.0031,0.07,0.0366,0.8514,0.9072,0.592
103_203_17_1_20250113_152643_leather_board,103_203,board,leather,103,1,1,1.78,25.1,23.32,1457,0.016,0.0043,0.07,0.0511,0.7851,0.8611,1.28
103_203_18_1_20250113_152657_pillow_board,103_203,board,pillow,103,1,1,2.48,6.86,4.38,730,0.006,0.0028,0.07,0.0627,0.8622,0.9226,0.54
103_203_19_1_20250113_152712_traffic_board,103_203,board,traffic,103,1,1,2.19,11.43,9.24,1155,0.008,0.008,0.07,0.0397,0.8471,0.8893,1.216
103_203_21_1_20250113_152824_tiger_board,103_203,board,tiger,103,1,2,0.0,36.12,36.12,1505,0.024,0.0052,0.07,0.0771,0.81,0.8803,2.304
103_203_21_1_20250113_152824_tiger_board,103_203,board,tiger,103,2,2,37.0,43.0,6.0,250,0.024,0.0052,0.07,0.0141,0.2466,0.4072,0.216
103_203_24_1_20250113_152957_pasta_ground,103_203,ground,pasta,203,1,1,1.42,10.42,9.0,1500,0.006,0.0045,0.07,0.0493,0.8637,0.9158,1.494
103_203_25_1_20250113_153028_hamster_ground,103_203,ground,hamster,203,1,2,0.88,16.3,15.42,964,0.016,0.0077,0.07,0.0417,0.7481,0.8442,0.944
103_203_25_1_20250113_153028_hamster_ground,103_203,ground,hamster,203,2,2,17.88,26.08,8.2,512,0.016,0.0077,0.07,0.1118,0.8966,0.9381,2.832
