trial_id,pair_id,condition,target_word,clue_giver_id,attempt_idx,n_attempts,start,end,duration,n_points,dt,trial_threshold,trial_recurrence_rate,RR,DET,LAM,L_MAX
103_203_12_1_20250113_152455_doughnut_board,103_203,board,doughnut,103,1,1,1.01,13.79,12.78,383,0.0333,0.0535,0.07,0.0693,0.3026,0.4244,0.2333
103_203_13_1_20250113_152513_spinach_board,103_203,board,spinach,103,1,1,2.8,13.8,11.0,330,0.0333,0.0234,0.07,0.0808,0.432,0.5549,0.2667
103_203_14_1_20250113_152536_balloon_board,103_203,board,balloon,103,1,2,2.61,18.61,16.0,480,0.0333,0.0679,0.07,0.066,0.3154,0.3963,0.2667
103_203_14_1_20250113_152536_balloon_board,103_203,board,balloon,103,2,2,20.61,22.61,2.0,44,0.0333,0.0679,0.07,0.094,0.1758,0.4451,0.0667
103_203_15_1_20250113_152557_bacon_board,103_203,board,bacon,103,1,3,1.2,6.08,4.88,147,0.0333,0.0562,0.07,0.1181,0.3635,0.4971,0.2333
103_203_15_1_20250113_152557_bacon_board,103_203,board,bacon,103,2,3,9.72,14.98,5.26,158,0.0333,0.0562,0.07,0.0672,0.3504,0.5352,0.2
103_203_15_1_20250113_152557_bacon_board,103_203,board,bacon,103,3,3,14.98,17.48,2.5,75,0.0333,0.0562,0.07,0.0471,0.1509,0.3547,0.1333
103_203_16_1_20250113_152613_chlorine_board,103_203,board,chlorine,103,1,1,3.98,12.62,8.64,259,0.0333,0.0565,0.07,0.0644,0.3036,0.3944,0.2
103_203_17_1_20250113_152643_leather_board,103_203,board,leather,103,1,1,1.78,25.1,23.32,700,0.0333,0.0514,0.07,0.0877,0.4532,0.5847,0.5
103_203_18_1_20250113_152657_pillow_board,103_203,board,pillow,103,1,1,2.48,6.86,4.38,131,0.0333,0.0433,0.07,0.1419,0.8608,0.885,1.5333
103_203_19_1_20250113_152712_traffic_board,103_203,board,traffic,103,1,1,2.19,11.43,9.24,277,0.0333,0.0422,0.07,0.0993,0.4039,0.5178,0.2667
103_203_20_1_20250113_152735_bitter_board,103_203,board,bitter,103,1,1,2.77,22.3,19.53,586,0.0333,0.0677,0.07,0.06,0.3417,0.4634,0.3667
103_203_21_1_20250113_152824_tiger_board,103_203,board,tiger,103,1,2,0.0,36.12,36.12,1084,0.0333,0.0446,0.07,0.0929,0.5116,0.6197,0.7
103_203_21_1_20250113_152824_tiger_board,103_203,board,tiger,103,2,2,37.0,43.0,6.0,179,0.0333,0.0446,0.07,0.0436,0.0787,0.209,0.1
103_203_23_1_20250113_152946_trumpet_ground,103_203,ground,trumpet,203,1,2,1.74,26.17,24.43,733,0.0333,0.0365,0.07,0.0867,0.418,0.5432,0.3333
103_203_23_1_20250113_152946_trumpet_ground,103_203,ground,trumpet,203,2,2,26.17,32.08,5.91,177,0.0333,0.0365,0.07,0.0371,0.1309,0.2231,0.1333
103_203_24_1_20250113_152957_pasta_ground,103_203,ground,pasta,203,1,1,1.42,10.42,9.0,270,0.0333,0.0342,0.07,0.0797,0.3828,0.5191,0.2333
103_203_25_1_20250113_153028_hamster_ground,103_203,ground,hamster,203,1,2,0.88,16.3,15.42,462,0.0333,0.0234,0.07,0.0883,0.3121,0.4561,0.2333
103_203_25_1_20250113_153028_hamster_ground,103_203,ground,hamster,203,2,2,17.88,26.08,8.2,246,0.0333,0.0234,0.07,0.067,0.3098,0.4642,0.1667
103_203_26_1_20250113_153140_siren_ground,103_203,ground,siren,203,1,4,2.83,24.83,22.0,330,0.0667,0.0285,0.07,0.0507,0.2034,0.3299,0.5333
103_203_26_1_20250113_153140_siren_ground,103_203,ground,siren,203,2,4,33.46,51.64,18.18,273,0.0667,0.0285,0.07,0.1059,0.3818,0.5249,0.4
103_203_26_1_20250113_153140_siren_ground,103_203,ground,siren,203,3,4,51.64,60.64,9.0,135,0.0667,0.0285,0.07,0.0471,0.2002,0.3667,0.3333
103_203_26_1_20250113_153140_siren_ground,103_203,ground,siren,203,4,4,63.64,64.64,1.0,15,0.0667,0.0285,0.07,0.6622,0.7248,0.8859,0.6667
