time_start,time_end,speaker,text
0.031,15.5391,SPEAKER_00,"Um... Ahhhh... What can I say? That isn't one of the words there. Um... So... Sort of like, furry."
15.5391,15.6066,SPEAKER_01,
15.6066,15.6572,SPEAKER_00,
15.9103,16.2816,SPEAKER_01,Mm.
16.6866,16.7035,SPEAKER_00,you
16.7035,34.2535,SPEAKER_01,"in... I really don't know how to say that without any other words. It's a dangerous... Mold. No, it's... Lives in... Is it an animal?"
32.5828,33.376,SPEAKER_00,lives in
34.321,36.346,SPEAKER_01,"Yeah, lives in the wild."
35.0635,35.4347,SPEAKER_00,Bye.
36.9366,38.0335,SPEAKER_01,It's...
37.5947,37.8478,SPEAKER_00,Bye.
38.1853,44.0916,SPEAKER_01,It's not king of the jungle or like similar in that area. No.
39.856,43.6022,SPEAKER_00,They all look like similar in that area.
44.6991,45.526,SPEAKER_01,Tiger.
