time_start,time_end,speaker,text
3.1697,24.8203,SPEAKER_01,It's a thing that produces another thing in anticipation of natural disasters to alert people of danger.
26.2716,31.1147,SPEAKER_00,"Is there like a... Oh, and a lot, like..."
32.161,32.9372,SPEAKER_01,close.
33.0891,33.7303,SPEAKER_00,Morning.
34.2366,36.8185,SPEAKER_01,close what's the machine that produces an alert?
36.7847,37.7803,SPEAKER_00,"I, um..."
40.5647,41.9653,SPEAKER_01,"It's, uh..."
43.1803,49.9978,SPEAKER_00,"I know what it is, I don't remember what the name is. Yes. Uh, is it like that thing where it has the red thing inside and spins around?"
44.716,60.6122,SPEAKER_01,Yes. Is it like that thing where it has the red thing inside and spins around? Yes. They're on emergency service vehicles. They're also on natural disaster.
59.5322,64.2741,SPEAKER_00,"natural disaster. No, I know, I know, I know. The things on ambulances. Yeah."
61.9791,64.2403,SPEAKER_01,I know the things on ambulances
64.3922,69.9272,SPEAKER_00,"Uh huh, what are they called? An alarm, I don't know."
