time_start,time_end,speaker,text
1.8197,8.2491,SPEAKER_00,"Okay, you can take it on your phone, but I guess you could also print it out. Photoc."
5.1947,8.1985,SPEAKER_01,But I guess you could also print it out and look at it.
9.2785,10.6622,SPEAKER_00,close another word for that
10.7466,11.236,SPEAKER_01,image.
11.7085,13.0922,SPEAKER_00,So I'll show you another word for that.
13.261,14.7291,SPEAKER_01,uh landscape
15.5053,16.4841,SPEAKER_00,Nyeh...
16.5853,17.1422,SPEAKER_01,selfie.
17.446,18.3235,SPEAKER_00,begins with a pay.
18.9478,19.3866,SPEAKER_01,picture.
19.4878,19.8085,SPEAKER_00,Yeah.
