time_start,time_end,speaker,text
0.031,9.9535,SPEAKER_00,You have it on your trousers and you have to pull it up at the front of your trousers.
9.1772,10.8141,SPEAKER_01,I think I trust this.
11.4553,17.5641,SPEAKER_00,second thing Thing at the front of your trousers
17.8341,20.416,SPEAKER_01,Z. That's...
20.1291,21.2597,SPEAKER_00,That's the first part of the word.
21.5128,21.8335,SPEAKER_01,Bye.
23.4872,32.566,SPEAKER_00,And then what do you call that specifically on the trousers? Other word for that containing those first three letters.
36.346,40.7503,SPEAKER_01,What? The sip? I think the second part contains...
40.9022,41.9653,SPEAKER_00,Six letters.
41.9653,42.3703,SPEAKER_01,Yeah.
44.2435,48.496,SPEAKER_00,"First three letters, you've already said. Second three letters."
45.2897,46.4878,SPEAKER_01,"Yeah, you've already said."
50.7403,55.4653,SPEAKER_00,a thing that does that on the front of you trousers.
56.1235,61.3041,SPEAKER_01,"Uhhhh... It's not a zip tie, is it? No. Uh..."
61.4053,61.861,SPEAKER_00,Uh...
64.8985,68.881,SPEAKER_01,"I don't think I'm gonna get it, but I'll just come down dense. Oh."
65.9785,66.5353,SPEAKER_00,That's okay.
68.9653,69.691,SPEAKER_01,Set
