time_start,time_end,speaker,text
3.9122,5.4816,SPEAKER_01,I like it fried and as a slowness.
6.6291,7.6753,SPEAKER_00,"Wait, you what? You like it?"
7.9285,10.0716,SPEAKER_01,"Like it fried, like in a sani."
10.2572,11.0503,SPEAKER_00,
10.7635,11.371,SPEAKER_01,in a big gap.
11.9785,16.6191,SPEAKER_00,"Oh, is it like, halloumi?"
17.0747,22.306,SPEAKER_01,A lot of people have it on a full English.
22.9641,23.9428,SPEAKER_00,"Oh, hash browns."
24.2635,25.3266,SPEAKER_01,"No, it's..."
25.681,29.0897,SPEAKER_00,sausage meat sausage bacon
