time_start,time_end,speaker,text
0.031,5.5153,SPEAKER_00,So this is like a hot
6.3591,6.6291,SPEAKER_01,
7.996,14.3916,SPEAKER_00,"So it like goes in the sky and it's fun. No, it's like people like in Turkey. There's loads of like"
10.3416,10.8478,SPEAKER_01,son
14.7966,19.6228,SPEAKER_00,hot something something um
19.6228,19.7072,SPEAKER_01,
19.7072,26.5753,SPEAKER_00,"Like in a birthday, there's going to be loads of, no, loads of like, as decoration, you put it around."
19.7916,22.7447,SPEAKER_01,"Like in a birthday, like there's gonna be loads of..."
27.6722,28.6172,SPEAKER_00,And...
27.9591,28.2122,SPEAKER_01,
28.9716,36.1097,SPEAKER_00,"They can like float, they float and they're like"
36.751,39.5691,SPEAKER_01,"No, I know what you mean. I don't know the name for it though."
39.7041,43.3828,SPEAKER_00,It's got like a little string
43.0453,43.7203,SPEAKER_01,What? Air balloon?
43.9397,45.7453,SPEAKER_00,"Yeah, but what's the last word?"
45.9478,46.6566,SPEAKER_01,for air.
46.6735,47.7028,SPEAKER_00,Just the last word of that.
48.0741,49.2385,SPEAKER_01,"Eh, balloon. Yeah."
48.9516,49.3566,SPEAKER_00,Yeah.
