time_start,time_end,speaker,text
1.9041,3.541,SPEAKER_01,something you choose to wash yourself.
4.0472,5.8022,SPEAKER_00,"So, uh..."
5.3803,7.7597,SPEAKER_01,What would you use? What would you put the soap on?
7.8272,11.4216,SPEAKER_00,uh like a loofah like uh sponge
10.5778,11.8266,SPEAKER_01,I think that's fun too.
11.8266,12.2147,SPEAKER_00,Fun.
12.2147,15.5391,SPEAKER_01,The...square a one.
13.3285,13.7672,SPEAKER_00,the
16.1466,16.1803,SPEAKER_01,
17.1085,19.3528,SPEAKER_00,"Oh, like a bar of sorts?"
20.0953,20.6185,SPEAKER_01,No.
20.8041,21.1753,SPEAKER_00,
22.0528,22.5253,SPEAKER_01,Um
24.6516,25.3097,SPEAKER_00,like a cloth.
25.6303,27.9591,SPEAKER_01,you could have a face
29.2922,30.1866,SPEAKER_00,face mask.
30.5578,33.2241,SPEAKER_01,"know if you're washing your face, you come face."
33.9328,34.8778,SPEAKER_00,Peace.
34.8778,36.7847,SPEAKER_01,and a separate one for the shower.
37.1897,38.8941,SPEAKER_00,towel towel
38.1516,40.666,SPEAKER_01,"No, I think small town."
40.1597,42.0835,SPEAKER_00,a claw.
42.6572,43.6528,SPEAKER_01,"Yeah, but what's the name?"
44.2772,52.8497,SPEAKER_00,"Um, oh my god, I don't know. Oh, what is it? Maybe you're like a rhyming word?"
52.3435,53.356,SPEAKER_01,House of Donald
53.896,54.976,SPEAKER_00,"Flano, Flano."
