time_start,time_end,speaker,text
3.3553,12.7885,SPEAKER_01,hmmm it's obnoxiously healthy like you probably wouldn't choose to eat it unless you're trying to be obnoxiously healthy
12.7885,13.9697,SPEAKER_00,Is it like not?
13.9697,14.0372,SPEAKER_01,
14.0372,14.2566,SPEAKER_00,
14.2566,14.4085,SPEAKER_01,
14.4085,14.4422,SPEAKER_00,
14.4422,14.4591,SPEAKER_01,
14.4591,14.4928,SPEAKER_00,
15.016,22.6266,SPEAKER_01,No thinker. I scramble it with eggs.
23.2341,25.7653,SPEAKER_00,Mmm... avocado? Milk?
24.8372,39.7041,SPEAKER_01,avocado milk no avocado is closer it's it's meant to be quite good source of iron scrambling with that you get it in a like a big pack
37.0378,38.0841,SPEAKER_00,I'll see you with that.
40.7335,45.1378,SPEAKER_01,chives
44.0241,44.446,SPEAKER_00,Thank you.
45.3741,53.3897,SPEAKER_01,Like... Papas. No!
52.4616,53.2378,SPEAKER_00,No.
53.5585,58.2497,SPEAKER_01,If you don't cook it right it becomes really wet and soggy.
58.3003,59.1778,SPEAKER_00,mushrooms.
59.6503,60.3422,SPEAKER_01,No.
61.726,62.3166,SPEAKER_00,
63.0928,65.1853,SPEAKER_01,different different colors of mushrooms.
