time_start,time_end,speaker,text
0.031,2.6128,SPEAKER_00,
2.3428,3.0347,SPEAKER_01,That does it.
3.0347,3.541,SPEAKER_00,Okay.
3.5241,9.8522,SPEAKER_01,You can paint one of these but you don't have to to create it.
9.8522,10.696,SPEAKER_00,Kansas?
11.7085,17.4122,SPEAKER_01,It is the object that is created. You can hang it on your wall. A one-eating.
16.6528,18.6947,SPEAKER_00,What do you think? No. What do you think?
17.851,24.1453,SPEAKER_01,"No. Once you've painted it, you can hang it on your wall, but you don't have to use paint to make it. Of art? You can use. Um."
22.3735,26.2378,SPEAKER_00,You can use...
26.2378,26.9635,SPEAKER_01,picture
26.9635,27.1153,SPEAKER_00,Thank you.
27.6216,28.0435,SPEAKER_01,Yes.
