time_start,time_end,speaker,text
0.031,13.0247,SPEAKER_01,"It's a type of clotheswear, sort of. It tends to be on the..."
10.4597,11.4722,SPEAKER_00,"Um, it depends."
13.6491,16.6022,SPEAKER_01,A per half? Sure. And be one as like an-
15.2691,15.7247,SPEAKER_00,the sun.
16.9903,18.8635,SPEAKER_01,"over? Oh, Jackets."
17.0241,19.336,SPEAKER_00,"over. Oh, jacket. Hoodie."
19.7072,20.2978,SPEAKER_01,jump
19.9097,20.5341,SPEAKER_00,Jumper.
21.091,27.3178,SPEAKER_01,It tends to have a very specific pattern. I'm not sure how to describe it.
27.3178,27.7903,SPEAKER_00,a patsy.
27.7903,27.8072,SPEAKER_01,
27.8072,27.841,SPEAKER_00,
27.841,31.4522,SPEAKER_01,"Like, I'm not sure who does that, that's not helpful."
31.4522,31.6885,SPEAKER_00,
31.6885,31.7728,SPEAKER_01,
31.7728,34.4053,SPEAKER_00,So I wear it over. Is it like a jacket?
35.0466,42.0497,SPEAKER_01,It's like it's not the type of clothes it's the thing that the clothes is made out of Oh
41.6616,43.6022,SPEAKER_00,"Oh, leather. The denim."
42.8935,57.6928,SPEAKER_01,"Denim. Um... Cotton? It has two L's and two N's. I'm really sorry, I don't know, polyester, I don't know, it doesn't narrow it down, hang on. It doesn't have any N's."
53.4741,57.136,SPEAKER_00,"I'm really sorry, I don't know, I don't know, there's a narrow down hang on."
57.9628,66.3835,SPEAKER_01,"Um... Oh my god, I don't know! Nylon! It's gone! Well... It's gone for the stream!"
