time_start,time_end,speaker,text
1.1953,8.4516,SPEAKER_01,a... Woo! Growing up is associated with this thing.
8.7553,11.0672,SPEAKER_00,age.
10.6791,12.8728,SPEAKER_01,"Almost, that's part of it but not in."
12.316,15.1847,SPEAKER_00,Aging. Wisdom.
13.8347,24.736,SPEAKER_01,um wisdom it is specific to a person and it tends to come at some point in the year puberty no jarring
24.736,24.7528,SPEAKER_00,
25.2253,29.8997,SPEAKER_01,It's associated with when a person first entered this world.
30.2372,30.5747,SPEAKER_00,Bye.
31.5872,35.1985,SPEAKER_01,and the specific related to that that occurs every single week.
34.9622,35.7216,SPEAKER_00,birthday.
