time_start,time_end,speaker,text
1.3978,17.2435,SPEAKER_00,"um You drink it and it's like because it's like Is it fizzy? Yeah, that's a coke. Um, it's less specific than that"
10.5103,18.6947,SPEAKER_01,"Is it fizzy? Yeah, that's the word. Coke? It's less specific than that. Lemonade. Cola."
19.2853,21.4791,SPEAKER_00,It's like not... What are those?
22.1035,23.3353,SPEAKER_01,carbonated drinks.
24.061,30.676,SPEAKER_00,"Yes, but like, more specific than that, but less specific than each of the things."
28.921,30.7435,SPEAKER_01,"Then, Carl. It's just the things. Uh."
30.7435,32.1778,SPEAKER_00,"One, two, three, four."
32.0091,32.7685,SPEAKER_01,Fizzy drinks.
34.9116,35.7891,SPEAKER_00,It is fizzy.
35.7891,36.0085,SPEAKER_01,
36.0085,44.1928,SPEAKER_00,Americans will also use this to just refer to like... I actually don't know what Americans... Soda.
43.6528,44.2603,SPEAKER_01,"So, here I am."
44.2772,44.7666,SPEAKER_00,Yeah.
